num_threads,l2_assoc,accel_clock_time,num_accels,l2_size,total_time (ns),total_accel_time (ns),total_energy (nJ),fu_energy (nJ),spad_energy (nJ),llc_leakage_energy (nJ),llc_dynamic_energy (nJ),total_area (uM^2),fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
1,32,4,1,524288,1328768,598620,36758.89,1283.59,757.49,24090.17,10627.65,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,1,1,1048576,779249,530479,20291.7,4302.85,1853.92,13304.35,830.58,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,1,1,1048576,779249,530479,37865.2,8605.7,2044.26,25645.55,1569.69,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,2,1,1048576,1044840,636244,23497.37,4523.17,1891.88,16576.28,506.04,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,524288,1330040,599376,25317.5,4248.08,918.87,14586.15,5564.4,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,524288,804396,384786,18279.9,3072.53,841.86,8821.57,5543.94,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,1048576,1567460,847468,35278.75,5682.49,1967.68,26761.71,866.86,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,4,1,1048576,1567616,846608,60872.66,5679.05,1967.38,51591.18,1635.05,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,2,1,524288,802298,384634,29057.73,3070.94,841.8,14545.42,10599.56,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,2,1,1048576,1044772,636178,42417.35,4522.83,1891.86,34384.07,1618.6,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,2,1,524288,815416,386402,14900.88,3081.63,842.44,8850.36,2126.45,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,1,1,524288,551327,275736,11732.62,2723.39,901.66,5983.99,2123.57,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,2,1,1048576,1044772,636176,21866.44,4522.82,1891.86,15030.51,421.26,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,1048576,2596640,1205608,47906.38,8016.06,2096.22,37356.3,437.8,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,16,8,1,524288,2425080,1022376,39873.56,6951.26,749.64,26595.12,5577.52,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,1,1,524288,543308,276256,13506.85,2726.23,802.91,6937.12,3040.59,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,1,1,1048576,779248,530476,17775.87,4302.84,1853.92,11210.57,408.53,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,8,1,1048576,2596640,1205608,97251.36,8016.03,2096.22,85456.98,1682.14,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,8,1,2097152,2596640,1205608,72791.5,8016.16,2096.22,61950.38,728.74,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,8,1,524288,2426496,1023768,42077.87,6956.11,1071.17,30982.23,3068.36,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,4,1,2097152,1567620,846620,40764.18,5679.15,1967.38,32416.66,700.99,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,1,1,524288,536972,275759,23935.05,2723.78,901.68,9735.14,10574.45,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,2097152,1044838,636240,36275.66,4523.16,1891.88,28905.23,955.39,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,8,1,524288,2410984,1021016,62390.22,6945.79,1070.19,43710.42,10663.82,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,4,1,524288,1340344,600280,21853.28,4252.54,919.19,14547.83,2133.73,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,524288,2424408,1022824,36479.51,6954.64,1070.84,26314.04,2139.99,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,4,1,524288,1335704,599992,25282.21,4252.51,919.09,17054.67,3055.93,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
