cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
2	32768	4	4	2	4	131072	475284	57.4987	44.261	42.2207	2.04024	13.2378	10.9276	2.31017	659560.0	204371.0	455188.0	0	0	8	8	0	0	0	0	9	45
2	65536	2	4	2	8	1048576	373034	80.2911	56.0998	54.0595	2.04024	24.1914	20.0652	4.12621	1056870.0	204371.0	852502.0	0	0	8	8	0	0	0	0	9	45
1	16384	4	1	2	1	1048576	870738	70.6096	61.3442	57.9363	3.40786	9.26543	7.97266	1.29277	503303.0	268860.0	234443.0	0	0	8	8	0	0	0	0	9	49
1	131072	4	1	1	4	131072	323620	293.954	158.486	155.088	3.39839	135.467	126.718	8.7491	2552040.0	268094.0	2283950.0	0	0	8	8	0	0	0	0	9	45
4	16384	4	1	2	8	262144	415721	31.8903	23.4166	21.7937	1.62295	8.47371	7.18094	1.29277	417110.0	182667.0	234443.0	0	0	8	8	0	0	0	0	9	50
4	131072	4	1	4	1	131072	496929	39.9331	20.0151	18.4134	1.60165	19.918	11.1689	8.7491	2464890.0	180944.0	2283950.0	0	0	8	8	0	0	0	0	9	41
2	16384	1	1	2	1	262144	639151	39.3788	33.5084	31.4492	2.05917	5.87039	4.66265	1.20775	440430.0	205903.0	234527.0	0	0	8	8	0	0	0	0	9	53
1	131072	4	4	4	8	131072	351221	229.066	147.872	144.474	3.39839	81.1939	72.4448	8.7491	2552040.0	268094.0	2283950.0	0	0	8	8	0	0	0	0	9	45
4	65536	4	4	2	4	131072	361066	42.4213	26.9735	25.3647	1.60875	15.4478	11.1588	4.28904	1066350.0	181519.0	884833.0	0	0	8	8	0	0	0	0	9	44
2	131072	2	4	2	16	262144	346004	148.972	60.3376	58.2973	2.04024	88.6344	80.3507	8.2837	2151950.0	204371.0	1947580.0	0	0	8	8	0	0	0	0	9	45
